,split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_n_epochs,param_lr_all,param_reg_all
36,3.5416988361847768,3.531730892425494,3.5320799155344,3.5351698813815573,0.004618866556454721,59,3.0661334651583765,3.058510068117107,3.0591068856038715,3.0612501396264515,0.0034616180191916375,55,2.3134010632832847,0.007052524675120386,1.3255229791005452,0.19189698298271696,"{'n_factors': 50, 'n_epochs': 5, 'lr_all': 0.002, 'reg_all': 0.02}",50,5,0.002,0.02
37,3.5592027471821694,3.5492832524756905,3.5485904645037403,3.5523588213872004,0.004847644033191449,65,3.1210432565737323,3.1143087726840046,3.11347656546083,3.116276198239522,0.0033878976850840073,67,2.3930001258850098,0.039632288922308065,1.4716773827870686,0.18677995695693098,"{'n_factors': 50, 'n_epochs': 5, 'lr_all': 0.002, 'reg_all': 0.4}",50,5,0.002,0.4
38,3.5712927719018386,3.5612566462045714,3.5607453438263748,3.5644315873109282,0.004856078529252213,69,3.1524944765840357,3.1459882101922245,3.1452012202804354,3.1478946356855655,0.0032684084300819297,71,2.3216636180877686,0.024131573658880794,1.3327085971832275,0.17721561066699915,"{'n_factors': 50, 'n_epochs': 5, 'lr_all': 0.002, 'reg_all': 0.6}",50,5,0.002,0.6
39,3.475974091412556,3.467596750737183,3.468570936143043,3.4707139260975937,0.0037407007950200598,25,2.9742352085580626,2.9645101986872557,2.96640929867609,2.9683849019738027,0.004208816978619399,18,2.308396100997925,0.0338209966575824,1.3327186902364094,0.18867783431472912,"{'n_factors': 50, 'n_epochs': 5, 'lr_all': 0.005, 'reg_all': 0.02}",50,5,0.005,0.02
40,3.4951564176875998,3.4865055497794435,3.48577159500294,3.4891445208233276,0.0042615998821624815,43,3.048328429921486,3.040092982344307,3.0394203103853785,3.042613907550391,0.004050098462868646,43,2.3158212502797446,0.04565736956888993,1.374179442723592,0.16526430184151086,"{'n_factors': 50, 'n_epochs': 5, 'lr_all': 0.005, 'reg_all': 0.4}",50,5,0.005,0.4
41,3.5110173843648758,3.5024788626036227,3.5012511999755063,3.5049158156480016,0.004343473608927276,51,3.0875411136050643,3.0801388588619254,3.0787746449966824,3.0821515391545575,0.0038514849461559033,59,2.3071808020273843,0.03209692110965283,1.3279706637064617,0.18647859901456443,"{'n_factors': 50, 'n_epochs': 5, 'lr_all': 0.005, 'reg_all': 0.6}",50,5,0.005,0.6
42,3.4898683767787313,3.480890163173793,3.4821650216028703,3.484307853851798,0.003966180145451298,39,2.9927505846895976,2.9834410978345343,2.9860846446000258,2.9874254423747195,0.003917051644678406,23,4.574081818262736,0.02124893178349252,1.3481190204620361,0.19826374767558458,"{'n_factors': 50, 'n_epochs': 10, 'lr_all': 0.002, 'reg_all': 0.02}",50,10,0.002,0.02
43,3.5091708669779273,3.499955813590629,3.499356113541714,3.5028275980367565,0.004492045241845611,47,3.0614215860175515,3.0536905514824966,3.0534989582145715,3.05620369857154,0.003690432589323657,51,4.532944838205974,0.05472621213858008,1.4581578572591145,0.17802532714288002,"{'n_factors': 50, 'n_epochs': 10, 'lr_all': 0.002, 'reg_all': 0.4}",50,10,0.002,0.4
44,3.5244093862817634,3.515459168572831,3.51478109729726,3.5182165507172853,0.0043877370333077655,55,3.098989689894566,3.092062140720434,3.0915078886252085,3.0941865730800693,0.0034038455895785045,63,4.542723814646403,0.04814637426076482,1.3190926710764568,0.1862334128126894,"{'n_factors': 50, 'n_epochs': 10, 'lr_all': 0.002, 'reg_all': 0.6}",50,10,0.002,0.6
45,3.4803821777477717,3.4697400629602217,3.473860484124339,3.474660908277444,0.004381336242632141,31,2.9355305491228956,2.923522942266484,2.928379120134802,2.929144203841394,0.004931846876043089,6,4.583332697550456,0.014701114927622166,1.3272966543833415,0.19932082392540673,"{'n_factors': 50, 'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.02}",50,10,0.005,0.02
